Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,USA,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.7,9.2,9.4,8.9,8.1,7.3,6.7,6.2,5.6,5.5,6.7,5.6,5.7,5.5,5.7,5.8,5.7,5.4,5,4.8,4.7,4.7,4.5,4.5,5,5.4,5.3,,
United States,USA,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,15.4,14.7,14.9,14.2,12.7,11.5,10.5,9.5,8.5,8.6,10.4,8.8,9,8.7,9.1,9.3,9.1,8.6,7.9,7.5,7.4,7.5,7.1,7,7.9,8.6,8.5,,
United States,USA,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.2,4,4.2,3.7,3.7,3.3,3,3,2.7,2.6,3.1,2.6,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.1,2.1,2.1,2,2,2.1,2.3,2.3,,
United States,USA,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020000,1300,,52000,901000,188000,34000,63000,1107000,1686000,1247000,
United States,USA,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,
United States,USA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,24.22037422,24.04942966,24.24763543,24.28977273,23.80671774,24.96016994,26.52495379,26.56317378,26.72125047,26.53979554,27.78798216,32.92046936,29.45919371,26.9984326,33.4922369,33.12648638,34.27594862,34.3753706,35.5017301,36.79409209,37.53351206,37.89987953,39.73425313,40.31629809,37.80316047,37.35341243,37.41499774,36.69754072,35.34550868,35.09280654,35.6256934,32.59046331,29.98666755,28.59364989,28.3411764,28.38913106,26.44930179,25.46393054,26.03774319,24.36085765,25.20669824,24.91231662,25.51122517,26.15293936,26.60368727,28.14617141,27.93821012,27.03113672,26.64386358,
United States,USA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,38.14968815,36.97718631,36.71539123,38.70738636,39.89393047,36.590547,36.73752311,36.48124191,36.21138817,38.11164952,37.36552086,34.02868318,30.42281219,31.75940439,29.59578906,30.06630652,28.22905819,28.68883565,28.99653979,27.26324935,27.95650879,25.88676215,23.81591622,22.96103032,22.34640833,22.61593982,21.39709819,20.48844884,19.10880467,16.42508589,16.27065969,15.67467027,15.35063622,14.75226027,14.63963826,14.72237299,14.45490656,14.08059931,14.59351611,12.6355441,13.18287689,13.1822295,13.24923924,12.78684418,12.57693374,11.93168294,11.45757286,11.39938792,11.52333448,
United States,USA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51312664,28.97133129,25.00957984,23.11602909,21.06765866,20.65993207,20.65168465,20.99626735,21.94510512,23.01332375,19.69151286,18.89563539,
United States,USA,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4448E+11,2.46884E+11,1.54108E+11,1.68939E+11,1.69464E+11,1.72387E+11,1.72145E+11,1.79264E+11,1.7835E+11,1.76668E+11,1.56937E+11,1.56366E+11,
United States,USA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,9620000000,10520000000,11630000000,14080000000,16970000000,18830000000,21640000000,23190000000,26870000000,31801300000,38110000000,46020000000,50850000000,51040000000,60414000000,63493000000,74898000000,84322000000,98260000000,1.151E+11,1.3428E+11,1.4942E+11,1.60905E+11,1.68259E+11,1.83327E+11,2.00341E+11,2.18553E+11,2.34825E+11,2.40486E+11,2.63128E+11,2.81224E+11,2.6613E+11,2.73018E+11,2.8094E+11,3.25978E+11,3.57422E+11,3.97519E+11,4.67473E+11,5.13735E+11,4.92183E+11,5.43546E+11,6.05588E+11,6.33576E+11,6.78635E+11,7.214E+11,7.35219E+11,7.39668E+11,7.79305E+11,8.05739E+11,
United States,USA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,36.7983368,38.02281369,37.66122098,35.86647727,35.35651149,37.33404142,35.81330869,36.17938767,36.21138817,31.10344546,30.85804251,28.27031725,35.39823009,35.99137931,32.22762936,32.16102562,31.23848434,30.64799222,30.74089151,31.47697654,31.04706583,32.53915139,33.31257574,33.16090075,36.13957573,35.89819358,36.66726149,37.54455446,39.58733565,39.93683682,38.94795608,42.22034344,44.07291827,44.61735602,43.61306591,43.61483065,44.67434261,45.00709132,44.49142067,46.94778162,45.65133402,46.48506906,46.48487316,44.58199179,43.59162739,43.77960852,44.944863,45.22496082,45.812555,
United States,USA,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,31.37550273,30.85024263,29.25160157,28.97139141,30.83060327,31.82655595,36.77922686,42.85409537,48.86304831,52.05480024,59.50854593,60.40394803,64.15912023,63.13346529,71.25175228,74.78316141,79.94099125,88.13993283,87.2390711,88.98592947,100,93.24507173,88.64139206,92.69143312,104.2148921,115.2399612,131.2115848,146.8439146,164.6517921,135.058024,163.5075545,189.5989093,197.6809589,202.0151602,207.2508754,192.1649329,185.5706992,197.7538565,212.820948,
United States,USA,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,20535000000,20959000000,21616000000,23275000000,26484000000,27374800000,30404400000,31561400000,34564600000,37962000000,43218800000,44142600000,49812500000,71428700000,98597700000,1.07695E+11,1.15105E+11,1.21348E+11,1.43814E+11,1.82065E+11,2.20913E+11,2.33896E+11,2.12441E+11,2.00593E+11,2.17998E+11,2.13222E+11,2.17426E+11,2.52853E+11,3.19109E+11,3.63546E+11,3.92743E+11,4.21588E+11,4.47215E+11,4.65539E+11,5.12207E+11,5.83021E+11,6.22662E+11,6.87711E+11,6.80522E+11,6.90793E+11,7.72147E+11,7.31026E+11,6.93255E+11,7.23792E+11,8.16546E+11,9.04308E+11,1.03699E+12,1.16269E+12,1.30012E+12,1.05691E+12,1.27749E+12,1.48248E+12,1.5458E+12,1.57843E+12,1.62048E+12,1.50457E+12,1.4537E+12,1.54561E+12,,
United States,USA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,4.441197955,4.656710721,4.603071799,5.280343716,5.490107235,4.734281164,5.082159161,3.643691344,3.494905192,3.690532638,4.153053764,3.864747432,4.293099122,5.795709568,4.283568481,5.265054088,5.797228617,5.113063256,5.623722308,6.616483124,5.364374211,4.937237063,4.95610546,4.665267482,5.090230186,4.517451295,3.962911519,3.661574116,3.740978788,4.115059992,4.032968124,3.854545196,2.932437418,2.472768125,2.420082115,2.505381453,2.332421121,0.222724371,0.291599684,0.165244871,0.231380812,0.227324336,0.225241794,0.213804518,0.245632212,0.297896292,0.285894753,0.332891828,0.369219764,0.34767388,0.342366672,0.235156018,0.18499836,0.195043887,0.188497457,0.173561653,0.22177417,0.110593792,,
United States,USA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,2.157292428,2.01822606,2.299222798,2.247046187,2.903639934,3.094086532,2.887739932,2.699500022,2.60960636,2.602602603,2.667820486,2.947266359,2.344792974,2.227395991,2.450361418,2.820186638,2.76147865,2.591719682,2.333639284,1.878010601,2.452549194,2.801330506,2.544894818,2.158898865,2.019468069,1.762341597,1.292899653,1.231822442,1.167062038,1.017834882,1.032252644,1.135563631,1.202151091,1.012804513,0.862776182,0.924134808,0.968053294,0.895594225,0.979086642,0.815526504,0.759933018,0.925931499,0.859366323,0.946639366,1.042451987,1.133043167,1.162933104,1.232512536,1.418415223,1.409495605,1.325497656,1.417596951,1.446964381,1.508617908,1.563530077,1.173815754,0.924818392,0.901345424,,
United States,USA,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,4.07596786,3.397108641,4.519800148,5.297529538,5.123848361,4.708710201,3.943508176,4.223513532,3.07250771,1.957220378,2.131017057,2.009396818,1.459473024,1.304797651,1.450338091,1.954593992,1.476912384,1.072205558,1.183612166,1.114656853,1.22595773,1.069406916,1.289581578,1.454587149,1.407811081,1.400465243,1.201604224,1.000818657,1.26430154,1.111401308,1.009107737,0.774049546,0.70836175,0.868176458,0.675605761,0.831685308,0.810006071,0.77177768,0.706589941,0.668058304,0.597463954,0.660031244,0.769947566,0.86924144,1.047546617,1.107996391,1.263734462,1.79341871,1.687982648,1.922036881,1.88575253,1.888022518,1.679327482,1.644112025,1.570115563,1.678998962,1.794013827,2.028991486,,
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,2.809836864,2.886588101,3.182827535,2.775510204,2.975381362,2.568055292,2.798936996,2.091161989,2.149598144,2.397133976,2.017640471,2.437554652,2.352823087,2.456995577,3.684670129,5.651144436,4.929412276,4.787141115,4.831796626,2.783566309,2.332185068,2.876064576,3.164266785,2.988190017,2.709612015,2.218063802,1.929162106,1.754102186,1.714899924,1.575750524,1.353225901,1.267256184,1.408315911,1.368048649,1.212712829,1.042295217,0.948877561,0.960098064,0.851743221,0.777077938,0.805675603,0.909201588,0.88087356,0.752702434,0.899030796,0.907102447,1.019411952,1.181716537,1.244323601,1.392162057,1.340315775,1.227239715,1.029657623,1.102116748,1.15118645,0.94398907,0.87456445,0.826237359,,
United States,USA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,14.3413684,13.32601746,12.54626203,12.40816327,12.6982329,12.01104666,12.38439173,11.67882287,12.00361063,11.1295506,11.56672559,11.56275344,11.91086575,11.6138191,13.74068563,13.651423,12.61847878,12.512938,12.92836581,12.8485431,14.38552733,14.99764853,12.96840064,10.33540552,11.21904788,12.33320201,11.97506278,11.72962156,11.95823371,11.70947528,11.973708,13.12380808,14.71113447,14.48770135,15.7356108,14.26633003,15.30067677,17.12294845,18.45786029,18.49552616,19.78005483,20.03258434,19.99870178,18.97208038,19.28195105,19.1443402,19.25958785,18.53614463,19.33707658,19.74039417,20.73838543,21.60743572,22.4617883,22.65389512,22.96963743,22.84668497,22.55949344,22.69740573,,
United States,USA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,0.871682493,0.97332888,1.276831976,1.310418904,1.079897296,0.785393866,0.973543303,0.864980641,0.83322243,0.885095622,0.91626792,0.824600273,0.78293601,0.659398813,0.774865945,0.770695018,0.647235133,0.584352441,0.507113355,0.507016725,0.648400049,0.66606526,0.572017643,0.518363054,0.711428545,0.759114913,0.695179049,0.698943655,0.682055348,0.645201433,0.691699152,0.662400258,1.253379247,1.669033099,1.299943187,1.187950348,1.310454147,1.266985696,1.273052157,0.989616282,0.98398362,1.028540709,1.061629559,0.991721379,1.094561727,1.228431021,1.32654124,1.587353465,2.014514045,1.555543991,1.631950152,1.961373099,1.884976372,1.88054062,1.778216365,1.363039995,1.385023598,1.425338713,,
United States,USA,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,2.853664475,3.750178921,3.543671355,3.570354458,2.609122489,2.619197218,3.05876781,3.260311647,3.295278985,2.855487066,2.88069081,2.677685501,2.941028858,3.53359364,3.780007039,2.797715771,2.518570001,2.40300623,2.810227099,3.426523494,4.524948735,4.073562609,4.508922477,4.14785162,4.152056441,3.982187579,3.762567494,3.719156981,3.805752893,4.023420145,4.008091806,4.342248831,4.854398891,5.440403489,5.512849297,6.188353421,6.199944753,6.322205112,5.581744602,5.270464524,5.833371107,6.214320694,6.908655545,7.901261688,7.730660612,7.839618802,8.483235132,8.564355073,8.540788543,9.591904703,10.44793306,10.10432078,10.12726387,10.77610586,10.61205345,10.82520792,11.25180569,11.57056742,,
United States,USA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,27.10981252,26.35144807,27.36861584,27.60902256,27.39012234,25.78648976,26.04688795,24.8182907,23.96382426,21.82709025,22.18016234,22.45925704,21.7919197,21.79600077,25.88092826,27.64575886,24.95208722,23.95136302,24.59475434,22.55831708,25.56956811,26.48407839,25.04808394,21.60329623,22.21942403,22.45537515,20.85647531,20.13446548,20.59230545,20.08308357,20.06808524,21.30532653,24.13774135,24.84616756,25.29949805,24.44074913,25.5380126,27.33960923,27.85007685,27.01626971,28.76048214,29.77061007,30.47917433,30.43364668,31.09620279,31.36053203,32.51544374,32.89550095,34.24310064,35.61153741,37.3698346,38.20598879,38.62997803,39.56538828,39.64473933,38.83173667,38.78971939,39.44988613,,
United States,USA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,68.44898953,68.99184121,68.02831236,67.11063373,67.11977043,69.47922907,68.87095289,71.53801796,72.54127055,74.48237711,73.6667839,73.67599552,73.91498118,72.40828967,69.83550326,67.08918706,69.25068416,70.93557372,69.78152336,70.82519979,69.06605768,68.57868454,69.9958106,73.73143629,72.69034578,73.02717356,75.18061317,76.2039604,75.66671576,75.80185644,75.89894664,74.84012828,72.92982123,72.68106431,72.28041983,73.05386941,72.12956628,72.4376664,71.85832346,72.81848542,71.00813705,70.00206559,69.29558388,69.3525488,68.658165,68.34157168,67.19866151,66.77160722,65.3876796,64.04078871,62.28779873,61.55885519,61.18502361,60.23956783,60.16676321,60.99470167,60.98850644,60.43952008,,
United States,USA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,19626000000,20190000000,20973000000,22427000000,25690000000,26699000000,29379000000,30934000000,34063000000,37332000000,43225000000,43549000000,49199000000,70823000000,99437000000,1.08856E+11,1.16794E+11,1.23182E+11,1.45847E+11,1.86363E+11,2.25566E+11,2.38715E+11,2.16442E+11,2.05639E+11,2.23976E+11,2.18815E+11,2.27158E+11,2.54122E+11,3.22427E+11,3.63812E+11,3.93592E+11,4.2173E+11,4.48163E+11,4.64773E+11,5.12627E+11,5.84743E+11,6.25073E+11,6.89182E+11,6.82138E+11,6.95797E+11,7.81918E+11,7.291E+11,6.93103E+11,7.24771E+11,8.14875E+11,9.01082E+11,1.02597E+12,1.1482E+12,1.28744E+12,1.05604E+12,1.2785E+12,1.48251E+12,1.5457E+12,1.57959E+12,1.62053E+12,1.50257E+12,1.45101E+12,1.54627E+12,1.66409E+12,
United States,USA,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,2.55174093,3.020182261,3.474278312,2.930182599,3.047122791,2.717828075,2.940363895,2.30978347,2.274002882,2.254886465,1.906577693,2.147585326,2.374905897,2.498995502,3.449370523,5.027160035,6.185656574,6.757095296,6.506042527,5.948040535,6.07510649,7.155145877,8.735131166,7.957107177,6.089872384,5.129254955,4.295208485,3.771638066,3.52064655,3.35927558,2.975380847,3.568341604,3.726171975,3.525461884,3.042500395,2.765732281,2.962313422,2.939955883,3.108055287,2.620596908,2.211431243,2.363773655,2.394631124,2.248353118,2.366590492,3.042768614,3.395731878,3.671761175,4.005607175,4.154724622,3.80722354,3.800273156,4.252419388,4.498072227,4.406447012,4.482705627,4.407359797,3.911717839,,
United States,USA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.974741486,4.067644933,4.532926923,4.532898748,4.395824277,4.444128113,4.50093662,5.03147991,5.210721051,3.306247348,3.087635971,3.596230239,3.746546174,3.356271643,2.878422861,2.707282612,2.922138647,3.957638543,5.104145108,3.052554737,2.72544455,2.879692068,2.879716217,2.815060067,2.655566031,2.55384204,3.01030775,3.215333371,3.053162325,2.77622804,2.326272027,2.134028006,2.196289365,2.668217607,2.221835685,2.141309786,1.932378873,1.799587884,1.906110463,1.962212505,1.965339173,2.066990303,2.448370846,2.851935816,3.618660072,3.87277175,4.127073604,3.531320001,4.086228982,4.20514296,3.689956685,3.363940916,3.185143122,2.936060361,2.755833116,2.736740441,2.947843243,
